ID,COMMAND,CATEGORY,SUBCATEGORY,DESCRIPTION,LEARN_DATE
2c645d70-c7c3-11e7-a80a-b88a60dad612,select pg_database_size(<name_database>');,POSTGRESQL,postgres cli method,method to retrieve the size of the database,2017-11-12 17:04:33
3cea3656-c7c8-11e7-a80a-b88a60dad612,mkdir test_Deploy_$(date +'%Y-%m-%d'),BASH,bash cli,$(date +'formatdate') useful to create a folder with today date,2017-11-12 17:40:48
6ac167ce-c7ce-11e7-a80a-b88a60dad612,screen,BASH,bash cli command,"useful to open a new window to detatch after wit ""ctrl-a""",2017-11-12 18:25:02
83eae1f8-c7ce-11e7-a80a-b88a60dad612,screen -r,BASH,bash cli command,to reattach in  a shell session,2017-11-12 18:25:44
a86f13be-c995-11e7-9bc9-b88a60dad612,myList[-1],PYTHON,slicing array,use to bind the last elem of an array list,2017-11-15 00:43:47
b64a5206-d1c3-11e7-851d-b88a60dad612,"db.articles.insert({title:""hello world""})",MONGODB,insert in mongo,syntax to insert data in mongo,2017-11-25 10:33:36
dec757b6-d1c7-11e7-851d-b88a60dad612,http://nodejs.org/api/,NODEJS,docs about core module,a reference to discover how work node core modules,2017-11-25 11:03:22
007379b2-d1c8-11e7-851d-b88a60dad612,require('fs'),NODEJS,nodejs core module,module to read a file ,2017-11-25 11:04:18
3bba5aea-d1c8-11e7-851d-b88a60dad612,"fs.readFile('/path/to/file/', 'utf8', function(err, data){};",NODEJS,core method ,read a file method of nodejs,2017-11-25 11:05:58
93cb8af0-d1ce-11e7-851d-b88a60dad612,require('http');,NODEJS,core node module,core module to create a web server,2017-11-25 11:51:23
94f4b984-d1dc-11e7-851d-b88a60dad612,$ export NODE_ENV=development,BASH,node environment setting,to set Unix-based environment in bash process,2017-11-25 13:31:38
52a618f0-d1e3-11e7-851d-b88a60dad612,> db.posts.find({title:/mongo/}),MONGODB,query database,query to retrieve each post documents that contain 'mongo' inside title field,2017-11-25 14:19:53
f585a5b8-d1e3-11e7-851d-b88a60dad612,> db.posts.find({commentsCount: {$gt:10}});,MONGODB,query database,to find grater integer parama passed ,2017-11-25 14:24:26
a3477b30-d1e5-11e7-851d-b88a60dad612,db.posts.drop(),MONGODB,mongo cli,query to drop  a specific collection,2017-11-25 14:36:27
65c35e36-d1e6-11e7-851d-b88a60dad612,"> db.posts.find({ ""user"": ""alice"" })",MONGODB,mongo cli,query filter by user,2017-11-25 14:41:53
bb086d1e-d1e6-11e7-851d-b88a60dad612,"> db.posts.find({user: {$in: ['bob', 'alice']}})",MONGODB,mongo cli,query that retrieve all collection of user include an array of passed user,2017-11-25 14:44:16
c568df70-d1fd-11e7-851d-b88a60dad612,"curl -X PUT -H ""Content-Type: application/json"" -d '{""last_name"": ""CACCAAAAAAAAAAA""}' localhost:3000/users/5a198be1f061264ddfb18444",BASH,cli commands,curl command to make a PUT request to specific url,2017-11-25 17:29:12
6f5637e4-d1fe-11e7-851d-b88a60dad612,curl -X DELETE localhost:3000/users/5a198be1f061264ddfb18444,BASH,cli command,curl DELETE example request,2017-11-25 17:33:57
6455cfd8-d5c0-11e7-be05-605718ec562b,npm install -g @angular/cli,ANGULAR-CLI,angular command line,ng tool to compile and build your application easely and organize your scaffolding,2017-11-30 12:19:55
b7668708-d5c0-11e7-be05-605718ec562b,ng new PROJECT_NAME,ANGULAR CLI,angular command line tool,used to create a new angular project,2017-11-30 12:22:14
c7a13f66-d5c3-11e7-be05-605718ec562b,tsc script_typescript.ts,TYPESCRIPT,syntax,commnand that compile .ts script and generate a compiled .js file,2017-11-30 12:44:10
b970053e-d5e2-11e7-be05-605718ec562b,docker build -t mongotest .,DOCKER,docker cli,docker to download the images,2017-11-30 16:25:40
a630b1a2-d5e3-11e7-be05-605718ec562b,docker run -p 27017:27017 -p 28017:28017 mongotest,DOCKER,docker cli,to run docker images at my localhost port to docker port,2017-11-30 16:32:18
06b7083a-d5e6-11e7-be05-605718ec562b,:set tabstop=8 softtabstop=0 expandtab shiftwidth=4 smarttab,VIM EDITOR,editor configuration,editor configuration to set tab equals to 4 spaces,2017-11-30 16:49:18
9eac6d7c-d5ed-11e7-be05-605718ec562b,docker inspect,DOCKER,docker cli,docker command to show info about your passed image,2017-11-30 17:43:40
0c55b78e-d5ee-11e7-be05-605718ec562b,docker run -p 8080:80 --detach myimage,DOCKER,docker cli,command that use local available port 8080 and link it to the docker port 80 and detach prompt to allow you make something,2017-11-30 17:46:44
dbfc9ef8-d5ee-11e7-be05-605718ec562b,docker stop 29edb953f90c,DOCKER,docker cli,docker command to stop running container,2017-11-30 17:52:32
d01a09ca-d5f0-11e7-be05-605718ec562b,docker run -it --detach --name=container1 myimage,DOCKER,docker cli,run a container but in detach mode ,2017-11-30 18:06:31
0fd224e4-d5f1-11e7-be05-605718ec562b,docker attach container1,DOCKER,docker cli,enter in a shell inside docker image and allow you to make what ever you wanna make in a shell,2017-11-30 18:08:18
